time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-11-27T14:46:40.718Z,60.9274,-152.4815,20,1,ml,,,,0.12,ak,ak024f9b18hz,2024-11-27T14:47:44.168Z,"70 km WNW of Nikiski, Alaska",earthquake,,0.2,,,automatic,ak,ak
2024-11-27T14:42:22.990Z,18.744666666667,-64.480333333333,13.84,2.85,md,3,322,0.349,0.21,pr,pr71467003,2024-11-27T15:01:08.100Z,"56 km NE of Cruz Bay, U.S. Virgin Islands",earthquake,2.97,5.07,0.014405035972516,3,reviewed,pr,pr
2024-11-27T14:37:04.720Z,36.878,-112.42533333333,19.73,2,ml,10,116,0.1773,0.1,uu,uu80087326,2024-11-27T15:09:51.550Z,"11 km SE of Fredonia, Arizona",earthquake,0.54,0.65,0.15749816986974,5,reviewed,uu,uu
2024-11-27T14:29:57.042Z,59.2028,-152.3031,63.6,1.7,ml,,,,0.23,ak,ak024f9axml4,2024-11-27T14:31:18.393Z,"27 km SW of Nanwalek, Alaska",earthquake,,1.3,,,automatic,ak,ak
2024-11-27T14:29:52.266Z,61.6555,-148.0601,6.2,1,ml,,,,0.7,ak,ak024f9axm7u,2024-11-27T14:31:32.036Z,"26 km SE of Chickaloon, Alaska",earthquake,,0.5,,,automatic,ak,ak
2024-11-27T14:27:09.110Z,38.817165374756,-122.76583099365,1.9400000572205,1.13,md,13,180,0.01224,0.02,nc,nc75091511,2024-11-27T14:42:15.347Z,"4 km W of Cobb, CA",earthquake,0.55,0.680000007,0.11,15,automatic,nc,nc
2024-11-27T14:19:46.440Z,17.992833333333,-66.985166666667,10.7,2.34,md,4,204,0.06084,0.08,pr,pr71466993,2024-11-27T15:07:39.470Z,"6 km ENE of La Parguera, Puerto Rico",earthquake,1.17,1.85,0.1003513350797,4,reviewed,pr,pr
2024-11-27T14:19:42.710Z,33.2861667,-116.27,4.72,1.59,ml,73,30,0.09085,0.21,ci,ci40988504,2024-11-27T14:50:14.570Z,"10 km ENE of Borrego Springs, CA",earthquake,0.14,0.54,0.151,27,reviewed,ci,ci
2024-11-27T14:04:51.628Z,59.5513,-153.6853,121.1,1.4,ml,,,,0.68,ak,ak024f9as99m,2024-11-27T14:07:06.092Z,"35 km SE of Pedro Bay, Alaska",earthquake,,0.5,,,automatic,ak,ak
2024-11-27T14:03:43.970Z,35.9843333,-117.9505,5.78,0.48,ml,13,90,0.05404,0.07,ci,ci37690604,2024-11-27T17:01:09.406Z,"7 km NW of Little Lake, CA",earthquake,0.17,0.46,0.268,6,reviewed,ci,ci
2024-11-27T14:03:14.180Z,35.9881667,-117.9515,4.99,0.65,ml,18,91,0.05326,0.1,ci,ci40988472,2024-11-27T16:56:48.169Z,"6 km S of Coso Junction, CA",earthquake,0.18,0.63,0.119,7,reviewed,ci,ci
2024-11-27T13:53:20.150Z,33.4728333,-116.5706667,10.87,0.38,ml,27,77,0.03421,0.11,ci,ci40988448,2024-11-27T15:23:47.034Z,"13 km SE of Anza, CA",earthquake,0.2,0.29,0.162,12,reviewed,ci,ci
2024-11-27T13:53:17.830Z,46.885,-112.52083333333,10.1,1.5,ml,10,113,0.05084,0.06,mb,mb90067063,2024-11-27T14:56:36.060Z,"14 km ESE of Lincoln, Montana",earthquake,0.42,0.47,0.15373256483556,16,reviewed,mb,mb
2024-11-27T13:52:38.270Z,38.821666717529,-122.8433303833,1.9900000095367,0.68,md,10,100,0.006643,0.03,nc,nc75091501,2024-11-27T14:17:20.161Z,"9 km NW of The Geysers, CA",earthquake,0.36,0.899999976,0.25,10,automatic,nc,nc
2024-11-27T13:43:13.110Z,57.9944,-153.2759,69.7,2.3,ml,,,,0.3,ak,ak024f9af3is,2024-11-27T14:29:57.040Z,"22 km WSW of Aleneva, Alaska",earthquake,,1.1,,,automatic,ak,ak
2024-11-27T13:38:24.500Z,47.469166666667,-115.7785,0.02,0.85,ml,5,119,0.4299,0.09,mb,mb90067078,2024-11-27T15:27:30.310Z,"1 km E of Mullan, Idaho",earthquake,0.64,31.61,0.13838574020551,5,reviewed,mb,mb
2024-11-27T13:33:05.690Z,38.792667388916,-122.77833557129,1.5299999713898,0.79,md,11,91,0.007506,0.02,nc,nc75091496,2024-11-27T14:09:29.103Z,"3 km NW of The Geysers, CA",earthquake,0.31,0.620000005,0.29,11,automatic,nc,nc
2024-11-27T13:32:10.030Z,40.318332672119,-121.77816772461,10.449999809265,1.62,md,8,174,0.07398,0.05,nc,nc75091491,2024-11-27T13:54:27.989Z,"13 km SSE of Manton, CA",earthquake,0.84,0.99000001,0.15,8,automatic,nc,nc
2024-11-27T13:31:59.011Z,61.1504,-152.1859,26.5,0.6,ml,,,,0.48,ak,ak024f9acmkd,2024-11-27T13:33:37.764Z,"57 km W of Tyonek, Alaska",earthquake,,0.2,,,automatic,ak,ak
2024-11-27T13:24:39.660Z,47.471166666667,-115.78033333333,0.02,1.07,ml,7,119,0.4316,0.1,mb,mb90067073,2024-11-27T15:21:23.680Z,"1 km E of Mullan, Idaho",earthquake,0.48,31.61,0.14981600666936,4,reviewed,mb,mb
2024-11-27T13:23:55.991Z,61.5201,-146.6761,30.6,1.7,ml,,,,0.54,ak,ak024f9aawlr,2024-11-27T13:25:34.610Z,"46 km NNW of Valdez, Alaska",earthquake,,0.2,,,automatic,ak,ak
2024-11-27T13:15:13.124Z,65.4531,-148.498,1.7,1.9,ml,,,,0.39,ak,ak024f9a93kg,2024-11-27T13:18:05.334Z,"8 km SSE of Livengood, Alaska",earthquake,,0.4,,,automatic,ak,ak
2024-11-27T13:13:19.380Z,35.6591667,-117.54,8.63,0.94,ml,20,89,0.09488,0.14,ci,ci40988432,2024-11-27T14:50:05.612Z,"13 km ENE of Ridgecrest, CA",earthquake,0.23,0.68,0.231,9,reviewed,ci,ci
2024-11-27T13:03:00.740Z,44.806666666667,-110.99283333333,8.87,0.21,md,12,171,0.04828,0.09,uu,uu80087321,2024-11-27T14:11:20.630Z,"16 km ENE of Hebgen Lake Estates, Montana",earthquake,0.5,0.72,0.27396723176491,9,reviewed,uu,uu
2024-11-27T13:01:26.150Z,33.5166667,-116.555,13.46,0.55,ml,15,78,0.04511,0.11,ci,ci40988424,2024-11-27T14:50:07.610Z,"12 km ESE of Anza, CA",earthquake,0.44,0.96,0.189,8,reviewed,ci,ci
2024-11-27T12:56:11.120Z,33.5841667,-116.6103333,13.19,0.45,ml,23,61,0.0184,0.11,ci,ci40988416,2024-11-27T14:50:24.971Z,"7 km ENE of Anza, CA",earthquake,0.2,0.32,0.225,10,reviewed,ci,ci
2024-11-27T12:51:53.550Z,34.362,-118.4816667,10.95,0.76,ml,15,89,0.06954,0.22,ci,ci40988408,2024-11-27T16:49:58.144Z,"6 km SSE of Santa Clarita, CA",earthquake,0.48,0.94,0.113,9,reviewed,ci,ci
2024-11-27T12:50:08.555Z,24.595,93.5059,73.784,4.3,mb,26,76,3.615,0.69,us,us7000nuhz,2024-11-27T15:23:48.490Z,"29 km WNW of Moirāng, India",earthquake,10.86,8.355,0.126,18,reviewed,us,us
2024-11-27T12:48:43.020Z,38.832500457764,-122.87616729736,2.8399999141693,1.49,md,27,69,0.008064,0.02,nc,nc75091476,2024-11-27T13:22:18.758Z,"12 km NW of The Geysers, CA",earthquake,0.26,0.439999998,0.18,26,automatic,nc,nc
2024-11-27T12:36:29.583Z,31.608,-103.975,6.6254,1.5,ml,11,66,0,0.1,tx,tx2024xhsn,2024-11-27T13:56:12.463Z,"36 km NNW of Toyah, Texas",earthquake,0.38755596362059,0.56499577877738,0.1,10,reviewed,tx,tx
2024-11-27T12:33:33.753Z,64.7084,-148.2392,17.3,0.8,ml,,,,0.44,ak,ak024f99rkfz,2024-11-27T12:35:14.597Z,"18 km SW of Ester, Alaska",earthquake,,0.7,,,automatic,ak,ak
2024-11-27T12:33:14.118Z,10.1617,125.6071,117.804,4.9,mb,94,72,3.072,0.84,us,us7000nuhy,2024-11-27T13:03:51.673Z,"19 km SSE of Tubajon, Philippines",earthquake,10.17,7.01,0.062,82,reviewed,us,us
2024-11-27T12:21:18.151Z,59.2439,-153.7483,111,1.9,ml,,,,0.4,ak,ak024f99oynb,2024-11-27T12:23:41.426Z,"54 km SE of Pope-Vannoy Landing, Alaska",earthquake,,0.5,,,automatic,ak,ak
2024-11-27T12:18:37.760Z,38.822334289551,-122.83149719238,5.1399998664856,0.23,md,9,141,0.01653,0.07,nc,nc75091456,2024-11-27T12:37:15.452Z,"8 km NW of The Geysers, CA",earthquake,0.81,2.47000003,0.12,10,automatic,nc,nc
2024-11-27T12:09:50.292Z,-35.6951,-73.5244,19.723,4.2,mb,11,218,1.715,0.47,us,us7000nuhu,2024-11-27T12:33:05.040Z,"108 km WSW of Constitución, Chile",earthquake,12.49,8.713,0.2,7,reviewed,us,us
2024-11-27T11:50:21.090Z,44.801666666667,-110.9925,9.06,0.78,ml,15,120,0.04344,0.09,uu,uu80087311,2024-11-27T14:13:45.510Z,"16 km ENE of Hebgen Lake Estates, Montana",earthquake,0.46,0.73,0.15689791215747,2,reviewed,uu,uu
2024-11-27T11:49:39.000Z,44.799666666667,-110.99033333333,9.37,0.93,ml,16,119,0.04188,0.11,uu,uu80087306,2024-11-27T14:33:29.580Z,"16 km ENE of Hebgen Lake Estates, Montana",earthquake,0.4,0.64,0.14703828613698,2,reviewed,uu,uu
2024-11-27T11:36:19.750Z,33.051,-116.5226667,16.25,0.68,ml,20,60,0.06963,0.16,ci,ci40988360,2024-11-27T17:33:23.624Z,"8 km ESE of Julian, CA",earthquake,0.3,0.61,0.071,6,reviewed,ci,ci
2024-11-27T11:21:40.900Z,17.832833333333,-66.528833333333,12.26,2.66,md,16,220,0.2214,0.26,pr,pr71466973,2024-11-27T11:38:19.460Z,"17 km S of Potala Pastillo, Puerto Rico",earthquake,0.84,0.71,0.13571310624966,12,reviewed,pr,pr
2024-11-27T11:21:06.707Z,64.4585,-146.8847,11.3,0.7,ml,,,,0.84,ak,ak024f993i5q,2024-11-27T11:23:02.504Z,"7 km S of Salcha, Alaska",earthquake,,0.4,,,automatic,ak,ak
2024-11-27T11:17:57.878Z,31.669,-104.368,7.6379,1.7,ml,15,57,0.1,0.2,tx,tx2024xhpw,2024-11-27T13:35:14.352Z,"56 km S of Whites City, New Mexico",earthquake,0.96861330754664,0.86493710588502,0.2,15,reviewed,tx,tx
2024-11-27T11:17:15.460Z,38.784332275391,-122.75949859619,2.2699999809265,1.06,md,13,80,0.01627,0.02,nc,nc75091421,2024-11-27T11:57:15.151Z,"1 km  of The Geysers, CA",earthquake,0.28,0.680000007,0.13,14,automatic,nc,nc
